"year","DVRPC-Associates Degree","DVRPC-Bachelors Degree","DVRPC-Some High School","DVRPC-Graduate/Professional Degree","DVRPC-Graduated High School","DVRPC-Less than High School","DVRPC-Some College","New Jersey Suburbs-Associates Degree","New Jersey Suburbs-Bachelors Degree","New Jersey Suburbs-Some High School","New Jersey Suburbs-Graduate/Professional Degree","New Jersey Suburbs-Graduated High School","New Jersey Suburbs-Less than High School","New Jersey Suburbs-Some College","Pennsylvania Suburbs-Associates Degree","Pennsylvania Suburbs-Bachelors Degree","Pennsylvania Suburbs-Some High School","Pennsylvania Suburbs-Graduate/Professional Degree","Pennsylvania Suburbs-Graduated High School","Pennsylvania Suburbs-Less than High School","Pennsylvania Suburbs-Some College","Core City-Associates Degree","Core City-Bachelors Degree","Core City-Some High School","Core City-Graduate/Professional Degree","Core City-Graduated High School","Core City-Less than High School","Core City-Some College","Developed Community-Associates Degree","Developed Community-Bachelors Degree","Developed Community-Some High School","Developed Community-Graduate/Professional Degree","Developed Community-Graduated High School","Developed Community-Less than High School","Developed Community-Some College","Growing Suburb-Associates Degree","Growing Suburb-Bachelors Degree","Growing Suburb-Some High School","Growing Suburb-Graduate/Professional Degree","Growing Suburb-Graduated High School","Growing Suburb-Less than High School","Growing Suburb-Some College","Rural Area-Associates Degree","Rural Area-Bachelors Degree","Rural Area-Some High School","Rural Area-Graduate/Professional Degree","Rural Area-Graduated High School","Rural Area-Less than High School","Rural Area-Some College","Bucks-Associates Degree","Bucks-Bachelors Degree","Bucks-Some High School","Bucks-Graduate/Professional Degree","Bucks-Graduated High School","Bucks-Less than High School","Bucks-Some College","Burlington-Associates Degree","Burlington-Bachelors Degree","Burlington-Some High School","Burlington-Graduate/Professional Degree","Burlington-Graduated High School","Burlington-Less than High School","Burlington-Some College","Camden-Associates Degree","Camden-Bachelors Degree","Camden-Some High School","Camden-Graduate/Professional Degree","Camden-Graduated High School","Camden-Less than High School","Camden-Some College","Chester-Associates Degree","Chester-Bachelors Degree","Chester-Some High School","Chester-Graduate/Professional Degree","Chester-Graduated High School","Chester-Less than High School","Chester-Some College","Delaware-Associates Degree","Delaware-Bachelors Degree","Delaware-Some High School","Delaware-Graduate/Professional Degree","Delaware-Graduated High School","Delaware-Less than High School","Delaware-Some College","Gloucester-Associates Degree","Gloucester-Bachelors Degree","Gloucester-Some High School","Gloucester-Graduate/Professional Degree","Gloucester-Graduated High School","Gloucester-Less than High School","Gloucester-Some College","Mercer-Associates Degree","Mercer-Bachelors Degree","Mercer-Some High School","Mercer-Graduate/Professional Degree","Mercer-Graduated High School","Mercer-Less than High School","Mercer-Some College","Montgomery-Associates Degree","Montgomery-Bachelors Degree","Montgomery-Some High School","Montgomery-Graduate/Professional Degree","Montgomery-Graduated High School","Montgomery-Less than High School","Montgomery-Some College","Philadelphia-Associates Degree","Philadelphia-Bachelors Degree","Philadelphia-Some High School","Philadelphia-Graduate/Professional Degree","Philadelphia-Graduated High School","Philadelphia-Less than High School","Philadelphia-Some College"
2000,199.9,616.0,461.1,388.4,1103.0,172.0,608.5,61.4,174.9,120.9,100.6,315.4,49.0,191.1,95.5,341.2,134.7,215.2,465.5,50.3,267.0,46.9,105.7,237.3,75.9,359.7,88.3,169.4,100.4,319.0,162.2,206.5,513.4,58.5,294.0,40.8,159.1,42.2,87.4,163.7,17.7,110.8,11.8,32.2,19.4,18.6,66.2,7.5,34.4,27.1,79.8,34.9,45.8,129.8,11.1,74.2,19.6,54.7,27.1,26.3,88.9,9.6,59.3,18.4,51.8,46.0,27.9,106.6,19.5,61.7,15.4,76.0,20.5,45.3,74.2,10.1,44.3,22.4,66.5,35.7,43.2,120.7,13.5,63.2,11.0,25.7,19.4,10.5,60.8,6.4,31.0,12.4,42.7,28.4,35.8,59.1,13.6,39.1,30.6,118.9,43.7,80.9,140.8,15.6,85.3,43.0,99.9,205.5,72.7,322.1,72.6,150.4
2005,223.934,692.084,327.516,452.128,1130.857,131.398,571.769,73.249,208.61,89.36,111.537,326.221,37.681,179.93,105.299,373.273,100.029,254.918,476.383,37.398,250.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.099,90.729,22.862,53.888,139.603,8.442,72.146,22.938,68.412,18.605,28.769,90.578,6.65,56.859,22.743,62.02,35.902,29.494,108.039,13.667,53.943,17.799,84.386,18.392,55.827,76.573,8.218,44.301,24.687,71.231,31.277,49.3,113.819,10.068,55.112,13.72,31.692,14.306,13.466,66.784,4.685,34.133,13.848,46.486,20.547,39.808,60.82,12.679,34.995,31.714,126.927,27.498,95.903,146.388,10.67,78.55,45.386,110.201,138.127,85.673,328.253,56.319,141.73
2006,229.919,709.989,339.602,454.689,1161.363,157.903,581.482,76.001,209.537,95.131,120.964,337.928,50.633,187.47,110.479,389.825,100.848,253.777,477.068,43.712,259.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.804,91.722,29.313,57.691,129.284,10.195,75.689,25.52,64.932,22.625,31.084,96.462,9.197,58.084,21.512,58.532,36.123,32.921,108.455,20.571,61.733,20.754,90.438,16.818,52.554,81.661,9.525,46.219,24.751,71.536,24.323,49.597,121.427,13.023,58.006,14.981,33.944,15.235,14.809,68.344,6.187,33.346,13.988,52.129,21.148,42.15,64.667,14.678,34.307,34.17,136.129,30.394,93.935,144.696,10.969,79.622,43.439,110.627,143.623,79.948,346.367,63.558,134.476
2007,240.641,698.293,325.97,470.407,1164.676,147.562,589.755,71.521,203.877,87.297,123.989,348.29,47.402,189.227,110.498,379.352,99.586,265.731,475.212,47.615,260.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.075,86.096,28.453,57.258,130.656,14.148,75.801,22.892,65.969,19.464,37.006,92.824,8.534,58.109,20.386,55.485,34.087,31.243,118.768,19.29,58.49,19.962,93.24,13.803,60.75,77.011,9.471,46.817,25.693,70.25,25.697,52.019,119.54,11.438,56.594,13.1,34.209,16.193,13.069,70.995,6.532,34.169,15.143,48.214,17.553,42.671,65.703,13.046,38.459,33.768,129.766,31.633,95.704,148.005,12.558,80.953,58.622,115.064,139.087,80.687,341.174,52.545,140.363
2008,234.707,720.501,310.31,481.924,1122.916,145.819,636.289,77.93,210.09,85.05,131.649,329.796,40.795,204.692,106.147,400.34,89.108,266.247,469.579,42.234,275.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.922,89.188,24.414,57.199,138.268,8.769,78.733,23.753,63.991,18.729,37.456,91.084,7.963,61.972,22.222,60.366,32.756,33.841,113.372,15.886,63.401,17.02,98.796,15.03,60.477,82.091,8.137,44.853,25.65,76.067,22.421,49.597,112.218,10.849,65.022,15.413,35.717,13.611,16.376,67.508,4.147,39.352,16.542,50.016,19.954,43.976,57.832,12.799,39.967,32.555,136.289,27.243,98.974,137.002,14.479,86.905,50.63,110.071,136.152,84.028,323.541,62.79,156.084
2009,238.518,741.543,300.885,502.169,1170.539,145.988,671.921,74.793,216.619,84.44,127.328,328.287,43.62,210.927,110.41,391.743,85.25,272.028,486.665,41.679,280.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.772,88.442,22.151,55.764,145.759,10.293,76.806,23.376,68.766,21.028,33.624,91.473,8.561,57.826,22.93,60.733,29.14,34.64,110.266,16.985,70.105,19.538,95.461,15.03,60.148,80.431,10.178,48.784,25.686,71.196,22.593,55.552,120.066,11.234,63.191,13.46,37.153,13.22,16.956,67.606,5.627,40.649,15.027,49.967,21.052,42.108,58.942,12.447,42.347,34.414,136.644,25.476,100.564,140.409,9.974,91.57,53.315,133.181,131.195,102.813,355.587,60.689,180.643
2010,230.83,763.247,290.625,507.839,1163.806,147.538,655.937,71.966,219.526,77.767,133.558,334.301,41.59,207.642,111.978,418.244,81.032,278.38,475.285,41.828,285.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.979,94.314,19.158,59.378,136.983,9.0,86.195,22.27,68.937,16.502,39.645,92.44,7.538,61.275,20.597,63.14,32.051,34.547,109.872,13.725,68.81,19.299,101.537,14.883,63.361,75.464,9.264,47.781,26.464,75.299,20.567,53.181,120.38,11.157,62.725,15.858,37.15,13.779,15.841,65.786,5.293,37.664,13.241,50.299,15.435,43.525,66.203,15.034,39.893,36.236,147.094,26.424,102.46,142.458,12.407,88.611,46.886,125.477,131.826,95.901,354.22,64.12,162.983
2011,249.943,762.871,287.271,512.058,1159.93,142.783,674.407,82.839,218.538,72.988,135.331,330.787,43.626,207.113,117.833,406.847,82.921,280.464,488.694,39.605,289.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.986,94.13,21.928,58.763,142.844,8.083,80.123,24.469,69.189,16.759,36.248,94.71,7.684,60.436,24.693,62.12,27.873,36.342,108.436,16.941,66.883,21.015,93.321,14.537,62.653,83.902,10.472,49.437,27.184,75.489,20.741,51.149,120.491,9.783,67.026,17.475,36.86,12.456,17.92,64.346,5.627,38.754,16.202,50.369,15.9,44.821,63.295,13.374,41.04,37.648,143.907,25.715,107.899,141.457,11.267,92.544,49.271,137.486,131.362,96.263,340.449,59.552,178.164
2012,254.364,794.078,273.814,530.167,1163.656,144.856,655.694,78.682,227.528,72.721,132.186,337.669,42.375,204.154,121.178,425.614,77.631,294.695,485.178,38.809,273.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.915,100.003,21.253,59.994,139.954,8.091,77.71,22.181,71.074,17.12,37.29,94.722,9.106,60.026,25.55,67.986,26.668,34.424,106.779,17.374,66.805,21.048,101.219,14.332,64.617,79.171,9.498,48.583,29.403,76.64,19.23,55.059,121.299,9.209,62.818,15.712,39.639,12.106,15.758,67.249,4.483,38.683,15.239,48.829,16.827,44.714,68.919,11.412,38.64,37.812,147.752,22.816,115.025,144.754,12.011,84.527,54.504,140.936,123.462,103.286,340.809,63.672,177.902
2013,249.609,807.726,274.331,550.306,1171.095,139.495,663.003,83.996,227.021,72.291,140.077,337.781,41.593,200.516,114.717,429.093,79.694,303.588,482.89,37.68,280.708,56.195,145.238,147.005,103.792,390.276,75.057,196.919,120.901,372.321,93.04,255.155,513.687,48.253,305.224,52.662,211.731,28.463,135.538,181.684,14.36,121.152,16.343,46.282,13.768,28.641,72.42,6.103,39.809,31.008,101.025,19.788,64.559,137.14,8.057,80.145,26.484,70.222,16.018,39.772,93.216,6.303,59.942,26.477,63.16,26.586,36.507,112.696,14.544,66.99,19.85,100.511,14.48,67.694,81.648,9.259,49.393,28.13,80.649,21.689,53.811,121.253,8.424,62.226,15.368,39.444,11.601,17.767,69.818,5.09,37.212,15.667,54.195,18.086,46.031,62.051,15.656,36.372,35.729,146.908,23.737,117.524,142.849,11.94,88.944,50.896,151.612,122.346,106.641,350.424,60.222,181.779
